Date,Currency Pair,Long Positions,Short Positions
2023-06-11,EUR/USD,120810,132662
2023-06-11,GBP/USD,140669,90850
2023-06-11,USD/JPY,97438,112721
2023-06-11,AUD/USD,91451,71665
2023-06-11,USD/CAD,135479,43647
2023-06-11,USD/CHF,94934,107040
2023-06-11,NZD/USD,128397,92667
2023-06-11,EUR/JPY,52964,99727
2023-06-11,GBP/JPY,115290,95962
2023-06-11,EUR/GBP,66536,136390
2023-06-18,EUR/USD,124463,92222
2023-06-18,GBP/USD,81288,56223
2023-06-18,USD/JPY,51606,60095
2023-06-18,AUD/USD,118325,63517
2023-06-18,USD/CAD,73249,130757
2023-06-18,USD/CHF,112922,74903
2023-06-18,NZD/USD,70239,95059
2023-06-18,EUR/JPY,101140,114430
2023-06-18,GBP/JPY,73616,122961
2023-06-18,EUR/GBP,126141,84760
2023-06-25,EUR/USD,116585,41698
2023-06-25,GBP/USD,67945,47267
2023-06-25,USD/JPY,70911,79043
2023-06-25,AUD/USD,142915,73100
2023-06-25,USD/CAD,79238,71301
2023-06-25,USD/CHF,56333,54379
2023-06-25,NZD/USD,67035,93230
2023-06-25,EUR/JPY,137058,80944
2023-06-25,GBP/JPY,149907,118676
2023-06-25,EUR/GBP,69007,118353
2023-07-02,EUR/USD,134436,73868
2023-07-02,GBP/USD,147379,64620
2023-07-02,USD/JPY,53490,82931
2023-07-02,AUD/USD,112417,136465
2023-07-02,USD/CAD,133778,115440
2023-07-02,USD/CHF,73953,130168
2023-07-02,NZD/USD,142127,129816
2023-07-02,EUR/JPY,59250,51109
2023-07-02,GBP/JPY,77738,76628
2023-07-02,EUR/GBP,113862,82224
2023-07-09,EUR/USD,50591,137413
2023-07-09,GBP/USD,73974,77637
2023-07-09,USD/JPY,78820,100258
2023-07-09,AUD/USD,104716,63128
2023-07-09,USD/CAD,142256,61603
2023-07-09,USD/CHF,67940,89404
2023-07-09,NZD/USD,88212,46159
2023-07-09,EUR/JPY,116186,126432
2023-07-09,GBP/JPY,104559,42690
2023-07-09,EUR/GBP,91295,71556
2023-07-16,EUR/USD,147682,41491
2023-07-16,GBP/USD,73725,98461
2023-07-16,USD/JPY,125989,48201
2023-07-16,AUD/USD,50531,73281
2023-07-16,USD/CAD,75885,66164
2023-07-16,USD/CHF,72875,94153
2023-07-16,NZD/USD,95227,107456
2023-07-16,EUR/JPY,107751,62012
2023-07-16,GBP/JPY,111315,136332
2023-07-16,EUR/GBP,68039,53780
2023-07-23,EUR/USD,106571,59727
2023-07-23,GBP/USD,74345,84655
2023-07-23,USD/JPY,128568,112674
2023-07-23,AUD/USD,133845,128734
2023-07-23,USD/CAD,54082,85175
2023-07-23,USD/CHF,142477,53323
2023-07-23,NZD/USD,123098,62622
2023-07-23,EUR/JPY,66883,127428
2023-07-23,GBP/JPY,142178,104268
2023-07-23,EUR/GBP,131576,115906
2023-07-30,EUR/USD,130761,71498
2023-07-30,GBP/USD,101932,65645
2023-07-30,USD/JPY,130837,111979
2023-07-30,AUD/USD,82099,56544
2023-07-30,USD/CAD,96446,65205
2023-07-30,USD/CHF,66152,110178
2023-07-30,NZD/USD,146223,112192
2023-07-30,EUR/JPY,75796,119083
2023-07-30,GBP/JPY,149935,53351
2023-07-30,EUR/GBP,59504,42990
2023-08-06,EUR/USD,76756,113177
2023-08-06,GBP/USD,134316,96766
2023-08-06,USD/JPY,109015,120335
2023-08-06,AUD/USD,117403,94969
2023-08-06,USD/CAD,126286,55565
2023-08-06,USD/CHF,105350,119091
2023-08-06,NZD/USD,85439,132433
2023-08-06,EUR/JPY,84085,79640
2023-08-06,GBP/JPY,57065,63424
2023-08-06,EUR/GBP,114415,99329
2023-08-13,EUR/USD,79426,101201
2023-08-13,GBP/USD,66507,130991
2023-08-13,USD/JPY,100747,54717
2023-08-13,AUD/USD,110818,104899
2023-08-13,USD/CAD,56490,95222
2023-08-13,USD/CHF,82193,44436
2023-08-13,NZD/USD,111983,129716
2023-08-13,EUR/JPY,104277,87269
2023-08-13,GBP/JPY,113042,92491
2023-08-13,EUR/GBP,99694,56592
2023-08-20,EUR/USD,137352,63955
2023-08-20,GBP/USD,107573,65869
2023-08-20,USD/JPY,130880,43286
2023-08-20,AUD/USD,79693,65840
2023-08-20,USD/CAD,116671,109976
2023-08-20,USD/CHF,142580,116427
2023-08-20,NZD/USD,140649,137972
2023-08-20,EUR/JPY,55028,47914
2023-08-20,GBP/JPY,119313,53020
2023-08-20,EUR/GBP,101882,70659
2023-08-27,EUR/USD,141798,83035
2023-08-27,GBP/USD,97039,125060
2023-08-27,USD/JPY,133169,97168
2023-08-27,AUD/USD,129969,120483
2023-08-27,USD/CAD,58514,126715
2023-08-27,USD/CHF,90151,57423
2023-08-27,NZD/USD,69532,44329
2023-08-27,EUR/JPY,69610,138853
2023-08-27,GBP/JPY,83255,115764
2023-08-27,EUR/GBP,57037,75740
2023-09-03,EUR/USD,79092,130139
2023-09-03,GBP/USD,84824,120106
2023-09-03,USD/JPY,53301,101335
2023-09-03,AUD/USD,50247,82645
2023-09-03,USD/CAD,135437,53814
2023-09-03,USD/CHF,88275,40068
2023-09-03,NZD/USD,50589,43906
2023-09-03,EUR/JPY,137715,45243
2023-09-03,GBP/JPY,140207,56496
2023-09-03,EUR/GBP,85085,103976
2023-09-10,EUR/USD,50581,90675
2023-09-10,GBP/USD,127937,41375
2023-09-10,USD/JPY,94128,94026
2023-09-10,AUD/USD,57972,40578
2023-09-10,USD/CAD,62831,117126
2023-09-10,USD/CHF,72804,108595
2023-09-10,NZD/USD,142635,102432
2023-09-10,EUR/JPY,137233,128701
2023-09-10,GBP/JPY,57391,51228
2023-09-10,EUR/GBP,87840,49200
2023-09-17,EUR/USD,68968,74655
2023-09-17,GBP/USD,81285,94774
2023-09-17,USD/JPY,66680,81928
2023-09-17,AUD/USD,141842,80085
2023-09-17,USD/CAD,75880,79317
2023-09-17,USD/CHF,94900,53688
2023-09-17,NZD/USD,61224,68469
2023-09-17,EUR/JPY,119057,111239
2023-09-17,GBP/JPY,114150,107722
2023-09-17,EUR/GBP,76210,106204
2023-09-24,EUR/USD,96815,100667
2023-09-24,GBP/USD,63441,118418
2023-09-24,USD/JPY,106342,64541
2023-09-24,AUD/USD,131665,125063
2023-09-24,USD/CAD,88456,137878
2023-09-24,USD/CHF,119110,63979
2023-09-24,NZD/USD,141518,52477
2023-09-24,EUR/JPY,117784,101584
2023-09-24,GBP/JPY,129887,114556
2023-09-24,EUR/GBP,128381,104074
2023-10-01,EUR/USD,76576,131730
2023-10-01,GBP/USD,101851,76150
2023-10-01,USD/JPY,111556,62027
2023-10-01,AUD/USD,109960,103712
2023-10-01,USD/CAD,144591,85029
2023-10-01,USD/CHF,67324,69153
2023-10-01,NZD/USD,117380,109627
2023-10-01,EUR/JPY,136651,136678
2023-10-01,GBP/JPY,137258,131682
2023-10-01,EUR/GBP,81049,42225
2023-10-08,EUR/USD,99515,57171
2023-10-08,GBP/USD,139394,128447
2023-10-08,USD/JPY,72133,70475
2023-10-08,AUD/USD,94979,71272
2023-10-08,USD/CAD,104795,70895
2023-10-08,USD/CHF,83567,137057
2023-10-08,NZD/USD,69239,138927
2023-10-08,EUR/JPY,81861,99307
2023-10-08,GBP/JPY,114303,116725
2023-10-08,EUR/GBP,57709,110347
2023-10-15,EUR/USD,86217,123527
2023-10-15,GBP/USD,98902,134098
2023-10-15,USD/JPY,83997,64073
2023-10-15,AUD/USD,79062,126060
2023-10-15,USD/CAD,85125,41830
2023-10-15,USD/CHF,92790,84709
2023-10-15,NZD/USD,61315,132626
2023-10-15,EUR/JPY,138064,130436
2023-10-15,GBP/JPY,124766,110296
2023-10-15,EUR/GBP,112115,128601
2023-10-22,EUR/USD,95340,111122
2023-10-22,GBP/USD,140459,113897
2023-10-22,USD/JPY,126095,129356
2023-10-22,AUD/USD,142363,85234
2023-10-22,USD/CAD,137781,123244
2023-10-22,USD/CHF,140103,104815
2023-10-22,NZD/USD,149724,77323
2023-10-22,EUR/JPY,102330,115229
2023-10-22,GBP/JPY,53389,127494
2023-10-22,EUR/GBP,75957,89811
2023-10-29,EUR/USD,95640,40750
2023-10-29,GBP/USD,145087,135540
2023-10-29,USD/JPY,109901,129840
2023-10-29,AUD/USD,53141,42416
2023-10-29,USD/CAD,86938,67483
2023-10-29,USD/CHF,109364,41709
2023-10-29,NZD/USD,100505,136656
2023-10-29,EUR/JPY,99883,116617
2023-10-29,GBP/JPY,51643,53921
2023-10-29,EUR/GBP,76162,116561
2023-11-05,EUR/USD,140302,76625
2023-11-05,GBP/USD,98061,86621
2023-11-05,USD/JPY,107199,56820
2023-11-05,AUD/USD,114595,115032
2023-11-05,USD/CAD,101170,137447
2023-11-05,USD/CHF,62957,98420
2023-11-05,NZD/USD,70750,94803
2023-11-05,EUR/JPY,62904,90146
2023-11-05,GBP/JPY,101058,65399
2023-11-05,EUR/GBP,135006,98841
2023-11-12,EUR/USD,114287,91938
2023-11-12,GBP/USD,56488,128918
2023-11-12,USD/JPY,51202,54052
2023-11-12,AUD/USD,76375,49728
2023-11-12,USD/CAD,50410,118782
2023-11-12,USD/CHF,85838,126730
2023-11-12,NZD/USD,137355,59530
2023-11-12,EUR/JPY,64982,92444
2023-11-12,GBP/JPY,64648,51917
2023-11-12,EUR/GBP,136563,138969
2023-11-19,EUR/USD,75247,57714
2023-11-19,GBP/USD,131287,55701
2023-11-19,USD/JPY,113634,109831
2023-11-19,AUD/USD,96726,119978
2023-11-19,USD/CAD,104238,67642
2023-11-19,USD/CHF,99662,100433
2023-11-19,NZD/USD,100051,41510
2023-11-19,EUR/JPY,77703,60850
2023-11-19,GBP/JPY,100275,133651
2023-11-19,EUR/GBP,78441,42982
2023-11-26,EUR/USD,121002,104304
2023-11-26,GBP/USD,107005,44795
2023-11-26,USD/JPY,132231,43519
2023-11-26,AUD/USD,102367,40700
2023-11-26,USD/CAD,92122,116324
2023-11-26,USD/CHF,89496,105504
2023-11-26,NZD/USD,129283,82622
2023-11-26,EUR/JPY,134581,108278
2023-11-26,GBP/JPY,54600,128621
2023-11-26,EUR/GBP,86769,105442
2023-12-03,EUR/USD,51671,136964
2023-12-03,GBP/USD,130603,112599
2023-12-03,USD/JPY,68663,103394
2023-12-03,AUD/USD,84198,102036
2023-12-03,USD/CAD,106523,100467
2023-12-03,USD/CHF,119254,60126
2023-12-03,NZD/USD,105625,75004
2023-12-03,EUR/JPY,119329,125474
2023-12-03,GBP/JPY,145829,75581
2023-12-03,EUR/GBP,72612,59499
2023-12-10,EUR/USD,59384,77626
2023-12-10,GBP/USD,59631,55330
2023-12-10,USD/JPY,50469,119303
2023-12-10,AUD/USD,111687,92596
2023-12-10,USD/CAD,112544,89835
2023-12-10,USD/CHF,99937,117741
2023-12-10,NZD/USD,137978,68909
2023-12-10,EUR/JPY,146934,90551
2023-12-10,GBP/JPY,128025,109511
2023-12-10,EUR/GBP,65215,121253
2023-12-17,EUR/USD,109968,123926
2023-12-17,GBP/USD,98936,116231
2023-12-17,USD/JPY,82312,107549
2023-12-17,AUD/USD,80922,108043
2023-12-17,USD/CAD,64458,131509
2023-12-17,USD/CHF,55507,128673
2023-12-17,NZD/USD,138479,120225
2023-12-17,EUR/JPY,146879,117514
2023-12-17,GBP/JPY,57270,101204
2023-12-17,EUR/GBP,143891,70517
2023-12-24,EUR/USD,77819,126607
2023-12-24,GBP/USD,141068,57315
2023-12-24,USD/JPY,84061,107641
2023-12-24,AUD/USD,141743,70692
2023-12-24,USD/CAD,147182,110745
2023-12-24,USD/CHF,140182,136886
2023-12-24,NZD/USD,118483,104982
2023-12-24,EUR/JPY,52333,108374
2023-12-24,GBP/JPY,87719,46768
2023-12-24,EUR/GBP,147876,117324
2023-12-31,EUR/USD,143883,76873
2023-12-31,GBP/USD,69004,119613
2023-12-31,USD/JPY,146211,43046
2023-12-31,AUD/USD,86245,115269
2023-12-31,USD/CAD,80411,71509
2023-12-31,USD/CHF,92227,94475
2023-12-31,NZD/USD,92391,94694
2023-12-31,EUR/JPY,101544,127062
2023-12-31,GBP/JPY,85171,42232
2023-12-31,EUR/GBP,119841,83697
2024-01-07,EUR/USD,76428,110347
2024-01-07,GBP/USD,65365,54948
2024-01-07,USD/JPY,69574,109215
2024-01-07,AUD/USD,118931,111894
2024-01-07,USD/CAD,135961,101521
2024-01-07,USD/CHF,131621,77230
2024-01-07,NZD/USD,64772,40354
2024-01-07,EUR/JPY,52735,67809
2024-01-07,GBP/JPY,60834,116716
2024-01-07,EUR/GBP,84391,52052
2024-01-14,EUR/USD,59793,52270
2024-01-14,GBP/USD,96192,87326
2024-01-14,USD/JPY,144870,120858
2024-01-14,AUD/USD,129287,113830
2024-01-14,USD/CAD,105388,136668
2024-01-14,USD/CHF,84158,128061
2024-01-14,NZD/USD,51268,45688
2024-01-14,EUR/JPY,135888,89506
2024-01-14,GBP/JPY,103060,136106
2024-01-14,EUR/GBP,145821,97437
2024-01-21,EUR/USD,50562,74066
2024-01-21,GBP/USD,51287,95051
2024-01-21,USD/JPY,122310,55898
2024-01-21,AUD/USD,140669,74572
2024-01-21,USD/CAD,88617,127280
2024-01-21,USD/CHF,113323,94675
2024-01-21,NZD/USD,77074,129205
2024-01-21,EUR/JPY,63627,130515
2024-01-21,GBP/JPY,125018,109549
2024-01-21,EUR/GBP,65198,135718
2024-01-28,EUR/USD,93540,102825
2024-01-28,GBP/USD,64585,55842
2024-01-28,USD/JPY,146587,86486
2024-01-28,AUD/USD,130323,51560
2024-01-28,USD/CAD,141964,121819
2024-01-28,USD/CHF,69072,129520
2024-01-28,NZD/USD,86729,99923
2024-01-28,EUR/JPY,76683,54011
2024-01-28,GBP/JPY,91548,90413
2024-01-28,EUR/GBP,50244,70371
2024-02-04,EUR/USD,108131,87612
2024-02-04,GBP/USD,88012,61407
2024-02-04,USD/JPY,139275,88376
2024-02-04,AUD/USD,121594,75778
2024-02-04,USD/CAD,149199,45516
2024-02-04,USD/CHF,112234,134568
2024-02-04,NZD/USD,142818,91337
2024-02-04,EUR/JPY,124264,72921
2024-02-04,GBP/JPY,75248,44586
2024-02-04,EUR/GBP,88621,85756
2024-02-11,EUR/USD,93691,65594
2024-02-11,GBP/USD,136982,98686
2024-02-11,USD/JPY,130423,136161
2024-02-11,AUD/USD,75124,88098
2024-02-11,USD/CAD,96578,44624
2024-02-11,USD/CHF,102129,87522
2024-02-11,NZD/USD,81158,46041
2024-02-11,EUR/JPY,57658,61041
2024-02-11,GBP/JPY,106292,99075
2024-02-11,EUR/GBP,58707,88409
2024-02-18,EUR/USD,51888,123344
2024-02-18,GBP/USD,65438,139581
2024-02-18,USD/JPY,76063,45284
2024-02-18,AUD/USD,121431,120487
2024-02-18,USD/CAD,93532,101145
2024-02-18,USD/CHF,125407,101087
2024-02-18,NZD/USD,85009,65326
2024-02-18,EUR/JPY,53878,47669
2024-02-18,GBP/JPY,91484,78874
2024-02-18,EUR/GBP,104257,75735
2024-02-25,EUR/USD,70960,48111
2024-02-25,GBP/USD,134612,127742
2024-02-25,USD/JPY,133025,43166
2024-02-25,AUD/USD,74267,49920
2024-02-25,USD/CAD,113818,97531
2024-02-25,USD/CHF,149110,128160
2024-02-25,NZD/USD,143943,138920
2024-02-25,EUR/JPY,134914,97271
2024-02-25,GBP/JPY,146832,55886
2024-02-25,EUR/GBP,75185,61891
2024-03-03,EUR/USD,52527,115450
2024-03-03,GBP/USD,55378,75001
2024-03-03,USD/JPY,101070,109956
2024-03-03,AUD/USD,75233,59255
2024-03-03,USD/CAD,52956,91670
2024-03-03,USD/CHF,55546,48657
2024-03-03,NZD/USD,100481,119437
2024-03-03,EUR/JPY,115903,136706
2024-03-03,GBP/JPY,83378,51645
2024-03-03,EUR/GBP,125161,74806
2024-03-10,EUR/USD,112490,138223
2024-03-10,GBP/USD,91434,77766
2024-03-10,USD/JPY,124951,46531
2024-03-10,AUD/USD,55404,56211
2024-03-10,USD/CAD,129705,132439
2024-03-10,USD/CHF,84147,79975
2024-03-10,NZD/USD,56188,67867
2024-03-10,EUR/JPY,138547,128257
2024-03-10,GBP/JPY,73880,114919
2024-03-10,EUR/GBP,139817,48177
2024-03-17,EUR/USD,139973,135145
2024-03-17,GBP/USD,68481,86994
2024-03-17,USD/JPY,99658,69913
2024-03-17,AUD/USD,124620,87427
2024-03-17,USD/CAD,116108,43974
2024-03-17,USD/CHF,77597,121501
2024-03-17,NZD/USD,111019,81017
2024-03-17,EUR/JPY,115714,47386
2024-03-17,GBP/JPY,53667,134067
2024-03-17,EUR/GBP,93969,116097
2024-03-24,EUR/USD,126137,107290
2024-03-24,GBP/USD,75664,45372
2024-03-24,USD/JPY,110209,121111
2024-03-24,AUD/USD,147392,122885
2024-03-24,USD/CAD,114942,51404
2024-03-24,USD/CHF,108130,132676
2024-03-24,NZD/USD,69324,97858
2024-03-24,EUR/JPY,85186,52964
2024-03-24,GBP/JPY,131981,46251
2024-03-24,EUR/GBP,74638,113212
2024-03-31,EUR/USD,116474,65088
2024-03-31,GBP/USD,64071,138556
2024-03-31,USD/JPY,52058,100960
2024-03-31,AUD/USD,80099,46807
2024-03-31,USD/CAD,104157,139925
2024-03-31,USD/CHF,100732,46620
2024-03-31,NZD/USD,102582,80544
2024-03-31,EUR/JPY,97021,118061
2024-03-31,GBP/JPY,93723,120381
2024-03-31,EUR/GBP,63277,95383
2024-04-07,EUR/USD,93264,51645
2024-04-07,GBP/USD,105862,130615
2024-04-07,USD/JPY,95999,132679
2024-04-07,AUD/USD,98434,112988
2024-04-07,USD/CAD,75271,83050
2024-04-07,USD/CHF,88589,98457
2024-04-07,NZD/USD,141580,68487
2024-04-07,EUR/JPY,55095,94274
2024-04-07,GBP/JPY,81645,68690
2024-04-07,EUR/GBP,145638,74516
2024-04-14,EUR/USD,141922,48656
2024-04-14,GBP/USD,106959,97234
2024-04-14,USD/JPY,52167,77171
2024-04-14,AUD/USD,120136,89530
2024-04-14,USD/CAD,71943,82377
2024-04-14,USD/CHF,60896,91417
2024-04-14,NZD/USD,113590,76920
2024-04-14,EUR/JPY,136523,112004
2024-04-14,GBP/JPY,77355,82465
2024-04-14,EUR/GBP,129637,74317
2024-04-21,EUR/USD,114294,100690
2024-04-21,GBP/USD,113308,79200
2024-04-21,USD/JPY,106845,112697
2024-04-21,AUD/USD,104483,124764
2024-04-21,USD/CAD,57158,87797
2024-04-21,USD/CHF,61251,124281
2024-04-21,NZD/USD,64764,74592
2024-04-21,EUR/JPY,82159,111925
2024-04-21,GBP/JPY,99694,45474
2024-04-21,EUR/GBP,85001,53261
2024-04-28,EUR/USD,95118,70677
2024-04-28,GBP/USD,112680,111944
2024-04-28,USD/JPY,74865,88809
2024-04-28,AUD/USD,94308,68207
2024-04-28,USD/CAD,73096,92296
2024-04-28,USD/CHF,64780,105032
2024-04-28,NZD/USD,94946,81679
2024-04-28,EUR/JPY,126878,73783
2024-04-28,GBP/JPY,135151,116050
2024-04-28,EUR/GBP,112285,95424
2024-05-05,EUR/USD,113905,43335
2024-05-05,GBP/USD,57115,105844
2024-05-05,USD/JPY,148244,90415
2024-05-05,AUD/USD,71776,42145
2024-05-05,USD/CAD,75743,82307
2024-05-05,USD/CHF,71423,75172
2024-05-05,NZD/USD,61944,88635
2024-05-05,EUR/JPY,145633,96312
2024-05-05,GBP/JPY,68794,45883
2024-05-05,EUR/GBP,104091,49661
2024-05-12,EUR/USD,53256,51255
2024-05-12,GBP/USD,117846,53526
2024-05-12,USD/JPY,95308,120527
2024-05-12,AUD/USD,106190,136439
2024-05-12,USD/CAD,137899,69334
2024-05-12,USD/CHF,63590,100652
2024-05-12,NZD/USD,52444,123676
2024-05-12,EUR/JPY,80146,119212
2024-05-12,GBP/JPY,107428,130371
2024-05-12,EUR/GBP,75344,67956
2024-05-19,EUR/USD,79635,136637
2024-05-19,GBP/USD,72123,66884
2024-05-19,USD/JPY,109196,48151
2024-05-19,AUD/USD,117200,114477
2024-05-19,USD/CAD,72540,47110
2024-05-19,USD/CHF,59059,123828
2024-05-19,NZD/USD,145442,96865
2024-05-19,EUR/JPY,74478,123407
2024-05-19,GBP/JPY,114142,86863
2024-05-19,EUR/GBP,130817,112277
2024-05-26,EUR/USD,133295,108553
2024-05-26,GBP/USD,59721,97726
2024-05-26,USD/JPY,77818,117185
2024-05-26,AUD/USD,110626,112624
2024-05-26,USD/CAD,128653,133228
2024-05-26,USD/CHF,134272,123070
2024-05-26,NZD/USD,148518,139446
2024-05-26,EUR/JPY,90277,62573
2024-05-26,GBP/JPY,67267,81447
2024-05-26,EUR/GBP,137548,108530
2024-06-02,EUR/USD,134648,88729
2024-06-02,GBP/USD,96310,117518
2024-06-02,USD/JPY,143717,84060
2024-06-02,AUD/USD,126908,120033
2024-06-02,USD/CAD,77828,66418
2024-06-02,USD/CHF,61715,132355
2024-06-02,NZD/USD,124221,54685
2024-06-02,EUR/JPY,134820,48941
2024-06-02,GBP/JPY,60135,76156
2024-06-02,EUR/GBP,113864,41910
2024-06-09,EUR/USD,138603,55705
2024-06-09,GBP/USD,103298,84607
2024-06-09,USD/JPY,125782,133720
2024-06-09,AUD/USD,70008,138568
2024-06-09,USD/CAD,95426,120985
2024-06-09,USD/CHF,60460,57232
2024-06-09,NZD/USD,69762,85048
2024-06-09,EUR/JPY,104687,97353
2024-06-09,GBP/JPY,65156,134817
2024-06-09,EUR/GBP,74963,64961
2024-06-16,EUR/USD,126105,95111
2024-06-16,GBP/USD,116754,70818
2024-06-16,USD/JPY,109679,63507
2024-06-16,AUD/USD,82744,46307
2024-06-16,USD/CAD,122873,67069
2024-06-16,USD/CHF,63265,48089
2024-06-16,NZD/USD,61102,74886
2024-06-16,EUR/JPY,131396,108022
2024-06-16,GBP/JPY,121562,102041
2024-06-16,EUR/GBP,53775,134699
2024-06-23,EUR/USD,139009,105519
2024-06-23,GBP/USD,125875,69892
2024-06-23,USD/JPY,125459,86597
2024-06-23,AUD/USD,103565,122119
2024-06-23,USD/CAD,81311,81822
2024-06-23,USD/CHF,77075,73620
2024-06-23,NZD/USD,67952,49560
2024-06-23,EUR/JPY,74164,94226
2024-06-23,GBP/JPY,67359,135086
2024-06-23,EUR/GBP,58726,106552
2024-06-30,EUR/USD,88824,57259
2024-06-30,GBP/USD,75014,63999
2024-06-30,USD/JPY,118824,133682
2024-06-30,AUD/USD,133242,50725
2024-06-30,USD/CAD,106865,85941
2024-06-30,USD/CHF,149241,49680
2024-06-30,NZD/USD,139479,61622
2024-06-30,EUR/JPY,109706,121608
2024-06-30,GBP/JPY,95852,46836
2024-06-30,EUR/GBP,63054,89632
2024-07-07,EUR/USD,131180,86818
2024-07-07,GBP/USD,103230,89646
2024-07-07,USD/JPY,65515,83330
2024-07-07,AUD/USD,135120,61526
2024-07-07,USD/CAD,110605,102363
2024-07-07,USD/CHF,77094,56577
2024-07-07,NZD/USD,121892,66678
2024-07-07,EUR/JPY,80592,122475
2024-07-07,GBP/JPY,68173,129941
2024-07-07,EUR/GBP,132112,138723
2024-07-14,EUR/USD,94207,110714
2024-07-14,GBP/USD,104601,75179
2024-07-14,USD/JPY,60991,41494
2024-07-14,AUD/USD,85436,130095
2024-07-14,USD/CAD,57131,57237
2024-07-14,USD/CHF,142929,56851
2024-07-14,NZD/USD,130651,43112
2024-07-14,EUR/JPY,112306,95896
2024-07-14,GBP/JPY,121933,118134
2024-07-14,EUR/GBP,76772,97627
2024-07-21,EUR/USD,91546,115134
2024-07-21,GBP/USD,139647,44238
2024-07-21,USD/JPY,77083,61443
2024-07-21,AUD/USD,140513,121366
2024-07-21,USD/CAD,138675,74921
2024-07-21,USD/CHF,146466,76013
2024-07-21,NZD/USD,122884,81353
2024-07-21,EUR/JPY,61933,138939
2024-07-21,GBP/JPY,135317,138302
2024-07-21,EUR/GBP,93809,114834
2024-07-28,EUR/USD,138577,72770
2024-07-28,GBP/USD,95188,124596
2024-07-28,USD/JPY,50520,56048
2024-07-28,AUD/USD,81502,46278
2024-07-28,USD/CAD,96048,46931
2024-07-28,USD/CHF,144262,104272
2024-07-28,NZD/USD,127460,62014
2024-07-28,EUR/JPY,125497,54795
2024-07-28,GBP/JPY,87595,47224
2024-07-28,EUR/GBP,78247,117959
2024-08-04,EUR/USD,88099,99007
2024-08-04,GBP/USD,124892,47507
2024-08-04,USD/JPY,144482,87024
2024-08-04,AUD/USD,71458,79438
2024-08-04,USD/CAD,143178,64144
2024-08-04,USD/CHF,51148,100798
2024-08-04,NZD/USD,59983,113650
2024-08-04,EUR/JPY,113960,58050
2024-08-04,GBP/JPY,65703,112313
2024-08-04,EUR/GBP,120537,99921
2024-08-11,EUR/USD,110274,43899
2024-08-11,GBP/USD,121165,45579
2024-08-11,USD/JPY,74533,99124
2024-08-11,AUD/USD,66148,88209
2024-08-11,USD/CAD,104010,44392
2024-08-11,USD/CHF,62698,85556
2024-08-11,NZD/USD,64475,115537
2024-08-11,EUR/JPY,56793,44048
2024-08-11,GBP/JPY,76486,132731
2024-08-11,EUR/GBP,99407,103755
2024-08-18,EUR/USD,80036,83205
2024-08-18,GBP/USD,146150,121867
2024-08-18,USD/JPY,110999,80650
2024-08-18,AUD/USD,98121,104458
2024-08-18,USD/CAD,111654,44010
2024-08-18,USD/CHF,84033,129592
2024-08-18,NZD/USD,103647,102618
2024-08-18,EUR/JPY,85795,98501
2024-08-18,GBP/JPY,103505,42253
2024-08-18,EUR/GBP,55476,86009
2024-08-25,EUR/USD,52603,83869
2024-08-25,GBP/USD,103993,45032
2024-08-25,USD/JPY,80863,125433
2024-08-25,AUD/USD,52097,97722
2024-08-25,USD/CAD,69264,87828
2024-08-25,USD/CHF,60313,113939
2024-08-25,NZD/USD,118326,94017
