Date,Currency,PMI Index
2025-02-28,USD,58.92
2025-02-28,NZD,51.71
2025-03-31,EUR,55.3
2025-03-31,AUD,54.52
2025-03-31,CHF,48.42
2025-03-31,GBP,53.48
2025-03-31,CAD,50.57
2025-03-31,JPY,57.96
2025-03-31,USD,46.2
2025-03-31,NZD,53.42
2025-04-30,EUR,50.67
2025-04-30,AUD,54.57
2025-04-30,CHF,54.26
2025-04-30,GBP,52.18
2025-04-30,CAD,58.86
2025-04-30,JPY,49.69
2025-04-30,USD,58.12
2025-04-30,NZD,51.59
